RunId,iteration,Step,data_type,prob_new_patient,isolation_factor,cleaningDay,hcw_wash_rate,isolation_time,height,width,prob_transmission,HCW_related_infecs
715,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.085,"[0, 0, 0, 0, 0, 0, 4, 19, 22, 15, 23, 21, 6, 5, 11, 11, 5, 31, 3, 19, 22, 18, 18, 29, 12, 21, 17, 19, 23, 18]"
722,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.12,"[0, 0, 6, 12, 35, 27, 14, 36, 24, 24, 25, 24, 28, 34, 28, 33, 22, 26, 19, 24, 31, 29, 22, 27, 24, 17, 27, 28, 29, 18]"
723,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.125,"[0, 25, 40, 32, 26, 27, 25, 34, 33, 27, 23, 33, 23, 30, 27, 28, 26, 24, 21, 26, 27, 26, 27, 31, 20, 28, 38, 30, 23, 30]"
724,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.13,"[1, 4, 11, 35, 33, 24, 33, 21, 21, 29, 35, 21, 19, 36, 22, 24, 26, 26, 30, 29, 32, 29, 29, 24, 19, 29, 28, 31, 25, 30]"
728,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
731,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.04,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
733,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.05,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 4, 3, 3, 1, 2, 3, 2, 5, 3, 0, 2, 4, 1, 6, 0, 0, 0, 3, 0, 1]"
732,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.045,"[0, 0, 0, 0, 0, 0, 1, 3, 1, 3, 3, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 1, 3, 3, 4]"
734,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.055,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 3, 2, 3, 6, 9, 11, 6, 3, 4, 4, 4, 5, 10, 0, 0, 0, 0, 1, 0]"
736,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.065,"[0, 0, 0, 0, 0, 1, 0, 1, 5, 7, 11, 9, 2, 1, 9, 5, 6, 4, 1, 0, 4, 14, 12, 16, 4, 8, 9, 9, 12, 16]"
735,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.06,"[0, 0, 2, 1, 2, 5, 0, 0, 1, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
738,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.075,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 3, 0, 0, 0, 0, 0, 6, 0, 3, 1, 11, 15, 25, 2, 1, 5, 18, 21, 19]"
737,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.07,"[0, 0, 0, 0, 0, 2, 2, 3, 5, 6, 7, 8, 1, 6, 9, 14, 12, 13, 9, 17, 27, 13, 13, 20, 5, 11, 7, 10, 10, 11]"
739,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.08,"[0, 0, 2, 5, 15, 12, 6, 11, 11, 25, 23, 12, 8, 15, 17, 14, 17, 28, 0, 5, 19, 16, 15, 23, 6, 11, 15, 14, 18, 19]"
740,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.085,"[0, 1, 3, 3, 5, 6, 2, 5, 11, 14, 26, 23, 25, 26, 18, 25, 20, 26, 8, 8, 8, 10, 14, 24, 1, 3, 5, 6, 12, 18]"
741,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.09,"[0, 0, 0, 0, 0, 0, 0, 4, 10, 19, 24, 30, 8, 24, 23, 17, 27, 28, 8, 7, 8, 29, 27, 29, 6, 18, 20, 28, 16, 22]"
750,30,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
752,30,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
751,30,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
753,30,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
744,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.105,"[0, 0, 0, 0, 0, 0, 0, 2, 17, 22, 29, 29, 7, 14, 26, 29, 26, 22, 12, 22, 27, 24, 20, 26, 12, 23, 29, 22, 22, 31]"
754,30,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.03,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
