0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,36,5,5,5,10,4,5,4,5,4,6,7,5,5,7,5,5,5,5,5,5,5,2,6,6,5,6,9,2,5,7,5,5,1,4
0,42,5,7,11,10,7,7,7,11,6,8,10,8,7,11,7,7,7,10,7,10,7,5,7,11,7,7,13,7,7,7,10,7,7,3
0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,3,4,6,6,3,3,2,5,2,6,4,4,4,5,4,3,4,4,4,4,3,0,4,5,4,4,8,0,4,5,4,4,0,1
0,30,2,1,3,3,0,1,0,2,0,1,2,0,2,2,1,0,2,0,0,2,0,0,0,2,0,3,2,0,1,2,1,0,0,0
0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
