,cleaningDay,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
117,30,117,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
118,30,118,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
119,30,119,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
120,30,120,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
121,30,121,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
122,30,122,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
123,30,123,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
124,30,124,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
125,30,125,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
126,30,126,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
127,30,127,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
128,30,128,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
129,30,129,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
130,30,130,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
131,30,131,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
132,30,132,2,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
133,30,133,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
134,30,134,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
135,30,135,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
136,30,136,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
137,30,137,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
138,30,138,3,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
139,30,139,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
140,30,140,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
141,30,141,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
142,30,142,0,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
143,30,143,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
144,30,144,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
145,30,145,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
146,30,146,3,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
147,30,147,3,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
148,30,148,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
149,30,149,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
150,30,150,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
151,30,151,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
152,30,152,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
153,30,153,3,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
154,30,154,2,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
155,30,155,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
156,30,156,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
157,30,157,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
158,30,158,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
159,30,159,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
160,30,160,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
161,30,161,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
162,30,162,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
163,30,163,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
164,30,164,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
165,30,165,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
166,30,166,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
167,30,167,2,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
168,30,168,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
169,30,169,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
170,30,170,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
171,30,171,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
172,30,172,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
173,30,173,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
174,30,174,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
175,30,175,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
176,30,176,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
177,30,177,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
178,30,178,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
179,30,179,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
180,30,180,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
181,30,181,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
182,30,182,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
183,30,183,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
184,30,184,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
185,30,185,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
186,30,186,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
187,30,187,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
188,30,188,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
189,30,189,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
190,30,190,3,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
191,30,191,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
192,30,192,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
193,30,193,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
194,30,194,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
195,30,195,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
196,30,196,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
197,30,197,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
198,30,198,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
199,30,199,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
200,30,200,0,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
201,30,201,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
202,30,202,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
203,30,203,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
204,30,204,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
205,30,205,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
206,30,206,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
207,30,207,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
208,30,208,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
209,30,209,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
210,30,210,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
211,30,211,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
212,30,212,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
213,30,213,1,6,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
214,30,214,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
215,30,215,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
216,30,216,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
217,30,217,2,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
218,30,218,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
219,30,219,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
220,30,220,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
221,30,221,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
222,30,222,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
223,30,223,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
224,30,224,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
225,30,225,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
226,30,226,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
