,0.0161,0.0181,0.0201
28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 4, 3, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 16, 18, 3, 4, 4, 3, 5, 3, 4, 3, 4, 5, 4, 4, 4]"
29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"[0, 0, 0, 0, 0, 7, 20, 5, 5, 2, 3, 4, 4, 4, 4, 5, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 13, 19, 4, 5, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3]"
33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 3, 2, 2, 2, 1, 3, 1, 2]","[0, 0, 0, 16, 19, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 6, 6, 6, 6]"
34,"[0, 0, 0, 0, 0, 19, 14, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 4, 4, 5, 4, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 20, 5, 1]","[0, 0, 0, 6, 13, 13, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 5, 4, 4, 4, 3, 5, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 9, 2, 1, 3, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 18, 6, 1, 3, 1, 2, 2, 2]","[0, 0, 0, 16, 16, 2, 3, 1, 2, 1, 2, 0, 3, 2, 2, 1, 3, 1, 2]"
