,icu_hcw_wash_rate,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,cleaningDay,isolate_sick,isolation_time,outside_hcw_wash_rate,height,width
155,0.99,155,11,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
156,0.99,156,8,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
157,0.99,157,7,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
158,0.99,158,7,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
159,0.99,159,7,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
160,0.99,160,8,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
161,0.99,161,9,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
162,0.99,162,7,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
163,0.99,163,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
164,0.99,164,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
165,0.99,165,7,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
166,0.99,166,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
167,0.99,167,5,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
168,0.99,168,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
169,0.99,169,10,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
170,0.99,170,5,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
171,0.99,171,11,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
172,0.99,172,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
173,0.99,173,7,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
174,0.99,174,5,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
175,0.99,175,7,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
176,0.99,176,12,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
177,0.99,177,5,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
178,0.99,178,4,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
179,0.99,179,5,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
180,0.99,180,10,8,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
